warning_uid,warning_id,pair_id,rank,semantic_target_type,type,symbol,oracle_blind_rank,oracle_blind_score,ranker_source,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label_source
f8dcd9f2cd00551e7fcbf283302d8a99ffb5521ed87acb06c679f5224daad64e,W-000017,latest-p012-v6.12-to-v6.13,1,NullabilityDrift,SignatureDrift,errname,33,33.0,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking,random,rust_use",TRUE_WRAPPER_FIX,"Direct same-symbol wrapper-fix calibration is present for errname. The packet links later Rust wrapper/helper changes to the warned SignatureDrift symbol or contract, satisfying the direct-wrapper standard despite any missing full diff.",TRUE_WRAPPER_FIX,Direct same-symbol wrapper oracle is present for errname; later Rust wrapper/helper evidence addresses the same warned symbol or contract. Rust exposure level: safe_api.,TRUE_WRAPPER_FIX,"errname: direct same-symbol/same-contract wrapper oracle is present, so the later Rust wrapper/helper/binding change supports the warned drift.",binddrift_review_m3_final
294099e6983e2b23170870a24c569e1b11781c73105816716babe3dd7be19618,W-000001,latest-p004-v6.4-to-v6.5,2,NullabilityDrift,SignatureDrift,errname,34,28.0,"binddrift_current,binddrift_oracle_blind,binding_diff,no_ranking,rust_use",TRUE_WRAPPER_FIX,"Direct same-symbol wrapper-fix calibration is present for errname. The packet links later Rust wrapper/helper changes to the warned SignatureDrift symbol or contract, satisfying the direct-wrapper standard despite any missing full diff.",TRUE_WRAPPER_FIX,Direct same-symbol wrapper oracle is present for errname; later Rust wrapper/helper evidence addresses the same warned symbol or contract. Rust exposure level: safe_api.,TRUE_WRAPPER_FIX,"errname: direct same-symbol/same-contract wrapper oracle is present, so the later Rust wrapper/helper/binding change supports the warned drift.",binddrift_review_m3_final
2570299b655838a322feaa16b54e3321c64fdd5bef3c10262aa14254cfc9bf00,W-000013,latest-p012-v6.12-to-v6.13,3,NullabilityDrift,SignatureDrift,compat_ptr_ioctl,37,23.8,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking",TRUE_WRAPPER_FIX,"Direct same-symbol wrapper-fix calibration is present for compat_ptr_ioctl. The packet links later Rust wrapper/helper changes to the warned SignatureDrift symbol or contract, satisfying the direct-wrapper standard despite any missing full diff.",TRUE_WRAPPER_FIX,Direct same-symbol wrapper oracle is present for compat_ptr_ioctl; later Rust wrapper/helper evidence addresses the same warned symbol or contract. Rust exposure level: unsafe_wrapper.,TRUE_WRAPPER_FIX,"compat_ptr_ioctl: direct same-symbol/same-contract wrapper oracle is present, so the later Rust wrapper/helper/binding change supports the warned drift.",binddrift_review_m3_final
0217c5aca3beed930cd6cd613e9717d4a78ab28013cffd3881c7d5c7ab7db42a,W-000018,latest-p012-v6.12-to-v6.13,4,NullabilityDrift,SignatureDrift,errno_to_blk_status,44,12.3,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking",UNCLEAR,"Rust exposure exists and a wrapper-fix hit is listed for errno_to_blk_status, but the packet lacks direct C source and full fix diff tying the hit to this exact contract. Final merge preserves this independent conservative disagreement for adjudication-audit coverage.",UNCLEAR,"errno_to_blk_status has Rust safe_api exposure and broad/plausible context, but lacks direct same-symbol wrapper evidence or complete old/new C/binding proof.",FALSE_POSITIVE,"errno_to_blk_status: broad-family wrapper evidence is auxiliary only. Without direct same-symbol/same-contract proof or a semantic C-to-Rust contract chain, the warning is unsupported as a Rust-impact target.",binddrift_review_m3_final
39859c860002f454586acf39f3d0df45a3189f1edc7868bad4cb189a795d4b8e,W-000003,latest-p012-v6.12-to-v6.13,5,NullabilityDrift,SignatureDrift,PTR_ERR,46,10.75,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_graph,no_impact_gate,no_ranking,rust_use",TRUE_WRAPPER_FIX,"Rust exposure reaches to_result, and wrapper-fix evidence points to the same symbol, subsystem, or Rust exposure path. Direct C source is missing, so this is a wrapper-fix finding rather than semantic-drift proof. Final merge preserves this independent conservative disagreement for adjudication-audit coverage.",UNCLEAR,"PTR_ERR has Rust safe_api exposure and broad/plausible context, but lacks direct same-symbol wrapper evidence or complete old/new C/binding proof.",FALSE_POSITIVE,"PTR_ERR: broad-family wrapper evidence is auxiliary only. Without direct same-symbol/same-contract proof or a semantic C-to-Rust contract chain, the warning is unsupported as a Rust-impact target.",binddrift_review_m3_final
58bf7f2f2d74c5ec6be9fcd8a9b33e90df0d6227323e4b82048987d533465397,W-000003,latest-p020-v7.0-to-HEAD_9207d47f966b,6,NullabilityDrift,SignatureDrift,gpu_buddy_alloc_blocks,47,10.65,"binddrift_current,binddrift_oracle_blind,binding_diff,no_ranking,random,rust_use",UNCLEAR,"gpu_buddy_alloc_blocks reaches Rust safe or unsafe code, but the wrapper oracle is broad-family only and the packet lacks exact same-symbol/direct contract proof. This is plausible but not enough for TRUE_WRAPPER_FIX or semantic drift.",UNCLEAR,"gpu_buddy_alloc_blocks has Rust safe_api exposure and broad/plausible context, but lacks direct same-symbol wrapper evidence or complete old/new C/binding proof.",FALSE_POSITIVE,"gpu_buddy_alloc_blocks: broad-family wrapper evidence is auxiliary only. Without direct same-symbol/same-contract proof or a semantic C-to-Rust contract chain, the warning is unsupported as a Rust-impact target.",binddrift_review_m3_final
4b538a23e5b7e22f2cc86f95ffea064b2634aa0ab97449ad304889083dc27efd,W-000002,latest-p012-v6.12-to-v6.13,7,NullabilityDrift,SignatureDrift,IS_ERR,48,10.65,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_graph,no_impact_gate,no_ranking,rust_use",TRUE_WRAPPER_FIX,"Rust exposure reaches to_result, and wrapper-fix evidence points to the same symbol, subsystem, or Rust exposure path. Direct C source is missing, so this is a wrapper-fix finding rather than semantic-drift proof. Final merge preserves this independent conservative disagreement for adjudication-audit coverage.",UNCLEAR,"IS_ERR has Rust safe_api exposure and broad/plausible context, but lacks direct same-symbol wrapper evidence or complete old/new C/binding proof.",FALSE_POSITIVE,"IS_ERR: broad-family wrapper evidence is auxiliary only. Without direct same-symbol/same-contract proof or a semantic C-to-Rust contract chain, the warning is unsupported as a Rust-impact target.",binddrift_review_m3_final
399880825c439eb15d3e73aa711d383a87e7dbba9e9a3173f6a97bdef4e841b7,W-000004,latest-p012-v6.12-to-v6.13,8,NullabilityDrift,SignatureDrift,REFCOUNT_INIT,52,7.65,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_graph,no_impact_gate,no_ranking,random,rust_use",TRUE_WRAPPER_FIX,"Rust exposure reaches Arc<T>::new, and wrapper-fix evidence points to the same symbol, subsystem, or Rust exposure path. Direct C source is missing, so this is a wrapper-fix finding rather than semantic-drift proof. Final merge preserves this independent conservative disagreement for adjudication-audit coverage.",UNCLEAR,"REFCOUNT_INIT has Rust safe_api exposure and broad/plausible context, but lacks direct same-symbol wrapper evidence or complete old/new C/binding proof.",FALSE_POSITIVE,"REFCOUNT_INIT: broad-family wrapper evidence is auxiliary only. Without direct same-symbol/same-contract proof or a semantic C-to-Rust contract chain, the warning is unsupported as a Rust-impact target.",binddrift_review_m3_final
d668e025ab0727df4a19529d3eaa4e08a0e8e04c23fa27b5dd2701fb50ba80c6,W-000004,latest-p010-v6.10-to-v6.11,9,NullabilityDrift,SignatureDrift,errno_to_blk_status,53,7.3,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_ranking,random,rust_use",UNCLEAR,"errno_to_blk_status reaches Rust safe or unsafe code, but the wrapper oracle is broad-family only and the packet lacks exact same-symbol/direct contract proof. This is plausible but not enough for TRUE_WRAPPER_FIX or semantic drift.",UNCLEAR,"errno_to_blk_status has Rust safe_api exposure and broad/plausible context, but lacks direct same-symbol wrapper evidence or complete old/new C/binding proof.",FALSE_POSITIVE,"errno_to_blk_status: broad-family wrapper evidence is auxiliary only. Without direct same-symbol/same-contract proof or a semantic C-to-Rust contract chain, the warning is unsupported as a Rust-impact target.",binddrift_review_m3_final
619fc183747ad8095d328a64ad4dffb10c831cc475a5cc5f33de74ad0b4558ee,W-000001,latest-p012-v6.12-to-v6.13,10,NullabilityDrift,SignatureDrift,ERR_PTR,57,6.4,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_graph,no_impact_gate,no_ranking,random,rust_use",UNCLEAR,"ERR_PTR reaches Rust safe or unsafe code, but the wrapper oracle is broad-family only and the packet lacks exact same-symbol/direct contract proof. This is plausible but not enough for TRUE_WRAPPER_FIX or semantic drift.",UNCLEAR,"ERR_PTR has Rust safe_api exposure and broad/plausible context, but lacks direct same-symbol wrapper evidence or complete old/new C/binding proof.",FALSE_POSITIVE,"ERR_PTR: broad-family wrapper evidence is auxiliary only. Without direct same-symbol/same-contract proof or a semantic C-to-Rust contract chain, the warning is unsupported as a Rust-impact target.",binddrift_review_m3_final
