sample_id,table,symbol,file,line,extracted_fact,is_correct,corrected_fact,error_type,notes
c_functions-001,c_functions,ia64_set_curr_task,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.11/include/linux/sched.h,1857,"{""c_symbol"": ""ia64_set_curr_task"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.11/include/linux/sched.h"", ""line"": 1857, ""params"": ""[\""int cpu\"", \""struct task_struct *p\""]"", ""return_type"": ""extern void"", ""version_id"": ""v6.11""}",,,,
c_functions-002,c_functions,pci_enable_link_state,/home/nya/workspace/bind-drift/.binddrift/worktrees/v7.0/include/linux/pci.h,1919,"{""c_symbol"": ""pci_enable_link_state"", ""definition_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v7.0/include/linux/pci.h"", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v7.0/include/linux/pci.h"", ""line"": 1919, ""params"": ""[\""struct pci_dev *pdev\"", \""int state\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v7.0""}",,,,
c_functions-003,c_functions,platform_pm_thaw,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.17/include/linux/platform_device.h,361,"{""c_symbol"": ""platform_pm_thaw"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.17/include/linux/platform_device.h"", ""line"": 361, ""params"": ""[\""struct device *dev\""]"", ""return_type"": ""extern int"", ""version_id"": ""v6.17""}",,,,
c_functions-004,c_functions,acpi_unregister_lps0_dev,/home/nya/workspace/bind-drift/.binddrift/worktrees/HEAD_9207d47f966b/include/linux/acpi.h,1187,"{""c_symbol"": ""acpi_unregister_lps0_dev"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/HEAD_9207d47f966b/include/linux/acpi.h"", ""line"": 1187, ""params"": ""[\""struct acpi_s2idle_dev_ops *arg\""]"", ""return_type"": ""void"", ""version_id"": ""HEAD_9207d47f966b""}",,,,
c_functions-005,c_functions,init_waitqueue_entry,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.8/include/linux/wait.h,80,"{""c_symbol"": ""init_waitqueue_entry"", ""definition_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.8/include/linux/wait.h"", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.8/include/linux/wait.h"", ""line"": 80, ""params"": ""[\""struct wait_queue_entry *wq_entry\"", \""struct task_struct *p\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.8""}",,,,
c_functions-006,c_functions,override_creds_light,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.13/include/linux/cred.h,180,"{""c_symbol"": ""override_creds_light"", ""definition_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.13/include/linux/cred.h"", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.13/include/linux/cred.h"", ""line"": 180, ""params"": ""[\""const struct cred *override_cred\""]"", ""return_type"": ""static inline const struct cred *"", ""version_id"": ""v6.13""}",,,,
c_functions-007,c_functions,pci_get_device_reverse,/home/nya/workspace/bind-drift/.binddrift/worktrees/v7.0/include/linux/pci.h,1292,"{""c_symbol"": ""pci_get_device_reverse"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v7.0/include/linux/pci.h"", ""line"": 1292, ""params"": ""[\""unsigned int vendor\"", \""unsigned int device\"", \""struct pci_dev *from\""]"", ""return_type"": ""struct pci_dev *"", ""version_id"": ""v7.0""}",,,,
c_functions-008,c_functions,phy_device_register,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.14/include/linux/phy.h,1832,"{""c_symbol"": ""phy_device_register"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.14/include/linux/phy.h"", ""line"": 1832, ""params"": ""[\""struct phy_device *phy\""]"", ""return_type"": ""int"", ""version_id"": ""v6.14""}",,,,
c_functions-009,c_functions,I_BDEV,/home/nya/workspace/bind-drift/.binddrift/worktrees/HEAD_9207d47f966b/include/linux/blkdev.h,1788,"{""c_symbol"": ""I_BDEV"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/HEAD_9207d47f966b/include/linux/blkdev.h"", ""line"": 1788, ""params"": ""[\""struct inode *inode\""]"", ""return_type"": ""struct block_device *"", ""version_id"": ""HEAD_9207d47f966b""}",,,,
c_functions-010,c_functions,mdiobus_c45_read_nested,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.17/include/linux/mdio.h,589,"{""c_symbol"": ""mdiobus_c45_read_nested"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.17/include/linux/mdio.h"", ""line"": 589, ""params"": ""[\""struct mii_bus *bus\"", \""int addr\"", \""int devad\"", \""u32 regnum\""]"", ""return_type"": ""int"", ""version_id"": ""v6.17""}",,,,
c_functions-011,c_functions,queue_max_bytes,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.12/include/linux/blkdev.h,1163,"{""c_symbol"": ""queue_max_bytes"", ""definition_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.12/include/linux/blkdev.h"", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.12/include/linux/blkdev.h"", ""line"": 1163, ""params"": ""[\""struct request_queue *q\""]"", ""return_type"": ""static inline unsigned int"", ""version_id"": ""v6.12""}",,,,
c_functions-012,c_functions,bdev_partno,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.15/include/linux/blkdev.h,764,"{""c_symbol"": ""bdev_partno"", ""definition_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.15/include/linux/blkdev.h"", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.15/include/linux/blkdev.h"", ""line"": 764, ""params"": ""[\""const struct block_device *bdev\""]"", ""return_type"": ""static inline u8"", ""version_id"": ""v6.15""}",,,,
c_functions-013,c_functions,devm_regulator_get_enable,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.19/include/linux/regulator/consumer.h,165,"{""c_symbol"": ""devm_regulator_get_enable"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.19/include/linux/regulator/consumer.h"", ""line"": 165, ""params"": ""[\""struct device *dev\"", \""const char *id\""]"", ""return_type"": ""int"", ""version_id"": ""v6.19""}",,,,
c_functions-014,c_functions,pci_store_saved_state,/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.16/include/linux/pci.h,1430,"{""c_symbol"": ""pci_store_saved_state"", ""definition_file"": """", ""header_file"": ""/home/nya/workspace/bind-drift/.binddrift/worktrees/v6.16/include/linux/pci.h"", ""line"": 1430, ""params"": ""[\""struct pci_dev *dev\""]"", ""return_type"": ""struct pci_saved_state *"", ""version_id"": ""v6.16""}",,,,
